Comment,Designator,Footprint,JLCPCB Part #
1uF,C1,603,C15849
22uF,"C10, C11, C15, C16, C17, C18, C19, C20, C21, C9",805,C45783
220nF,"C12, C13, C14",603,C21120
470nF,"C2, C3, C8",603,C1623
10Pf,C22,402,C32949 
100nF,"C4, C6, C7",402,C1525
10uF,C5,603,C96446
BAS16VV,D1,SOT-563_ReducedSilkScreen,C316019
BZX584C8V2,D2,D_SOD-523_ReducedSilkScreen,C2991969
RB521SM-40T2R,D3,D_SOD-523_ReducedSilkScreen,C253516
RB521CM-30,D4,D_SOD-923,C236125
PMEG3010ER,D5,D_SOD-123F_ReducedSilkScreen,C456106
TestPoint,"IN+1, IN-1",Power_Pad_2.5x2.3mm,
Conn_01x05,J1,PadArray_1x05_P1.27mm,
Conn_01x04,J4,HDG 1x04 P0.6 Horizontal,C3008763
10µH,L1,L_Sunltech_SLW2010P,C207862
TPN1R603PL,Q1,VSON-8_3.3x3.3mm_P0.65mm_Clearance0.2mm,C141548
FCX790ATA,Q10,SOT-89-3_NoSilkScreenModifiedPads,C155511
EMZ1T2R,Q2,SOT-563_ReducedSilkScreen,C510332
JMSL0302AU,"Q3, Q4, Q5, Q6, Q7, Q8",VSON-8_3.3x3.3mm_P0.65mm_Clearance0.2mm,C2890409
MMBFJ309,Q9,SOT-23-3_NoSilkScreen,C58012
2k2,"R1, R10, R12, R14, R22",402,C25879
10k,"R11, R13, R17, R21, R3, R5, R6, R7, R8, R9",402,C25744
4k7,"R15, R18, R2",402,C25900
470R,R16,402,C2099986
1k,"R19, R20",402,C11702
330R,R23,402,C25104
91K,R4,402,C4147
AP3015KTR-G1,U1,SOT-23-5_ReducedSilkScreen,C151334
AP2210K-3.3TRG1,U2,SOT-23-5_ReducedSilkScreen,C176959
AT32F421G8U7,U3,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm_ReducedSilkScreen,C2765098
DRV8300D,U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ReducedSilkScreen,C3655801
TestPoint,"UOUT1, VOUT1, WOUT1",Power_Pad_2.5x2.5mm_NoSilkScreen,
