Designator,Mid X,Mid Y,Layer,Rotation
C1,205.96,-62.39,top,270
C10,211.250007,-73.13,top,90
C11,209.430007,-73.13,top,90
C12,205.95,-75.51,top,270
C13,204.49,-75.51,top,270
C14,205.2,-77.73,top,0
C15,207.610007,-73.13,top,90
C16,216.71,-65.73,top,270
C17,214.89,-65.73,top,270
C18,213.07,-65.73,top,270
C19,211.25,-65.73,top,270
C2,200.38,-61.46,top,270
C20,209.43,-65.73,top,270
C21,207.61,-65.73,top,270
C22,200.1675,-64.34,top,0
C3,198.57,-66.48,top,0
C4,201.51,-66.65,top,90
C5,198.79,-68.685,top,90
C6,197.58,-68.45,top,90
C7,205.78,-70.25,top,0
C8,197.78,-77.28,top,270
C9,213.070007,-73.13,top,90
D1,197.53,-73.2325,top,270
D2,192.39,-68.45,top,90
D3,201.81,-61.09,top,270
D4,195.08,-71.52,top,270
D5,215.72,-73.68,top,90
J1,190.82,-68.52,top,180
J4,190.44,-74.09,top,270
L1,203.87,-61.18,top,180
Q1,194.99,-76.77,top,180
Q10,197,-62.2,top,180
Q2,194.65,-73.5425,top,90
Q3,208.69,-61.91,top,90
Q4,212.6,-62.01,top,0
Q5,208.69,-69.325,top,90
Q6,212.6,-69.43,top,0
Q7,208.69,-76.735,top,90
Q8,212.6,-76.83,top,0
Q9,192.45,-64.33,top,90
R1,194.14,-71.33,top,270
R10,205.76,-71.18,top,0
R11,205.27,-66.67,top,270
R12,204.33,-66.67,top,90
R13,202.44,-66.67,top,270
R14,203.39,-66.67,top,90
R15,196.09,-71.1,top,270
R16,193.22,-73.83,top,90
R17,196.07,-73.84,top,270
R18,198.01,-71.09,top,90
R19,193.2,-71.94,top,270
R2,197.06,-70.79,top,270
R20,205.76,-73.06,top,180
R21,205.92,-64.81,top,90
R22,200.58,-66.67,top,90
R23,192.62,-66.73,top,0
R3,195.17,-65.24,top,180
R4,200.1875,-65.27,top,0
R5,200.1875,-63.41,top,0
R6,205.76,-69.32,top,0
R7,205.76,-68.07,top,180
R8,206.22,-66.67,top,90
R9,205.76,-72.12,top,180
U1,203.1675,-64.04,top,180
U2,195.39,-67.79,top,90
U3,202.16,-70.45,top,270
U4,201.105,-75.9,top,90
